BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average
64.77,10.48781656,5.592944791000002,72.1,0.99,137.0,75.6,1.62,2.35,203.0,61.8,5.0,45.33333333333334,2.333333333333333,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,3.15815879,-1.096516,2.4,126.6,3.124308674,62.0,0.7633333333333333
64.77,10.48781656,5.592944791000002,72.1,0.99,137.0,75.6,1.62,2.35,203.0,58.3,5.0,45.66666666666666,2.0,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,2.6404254866666665,-1.096516,2.4,101.6,2.813668692,62.2,0.7633333333333333
64.77,10.48781656,5.592944791000002,72.1,0.98,137.0,75.6,1.62,2.35,203.0,58.3,5.0,46.0,2.333333333333333,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,2.81856598,-1.096516,2.4,180.6,2.9205529880000003,62.40000000000001,0.76
64.77,10.48781656,5.592944791000002,72.1,1.08,137.0,75.6,1.62,2.35,203.0,63.6,6.0,46.33333333333333,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.0,3.66549902,-1.096516,2.6,256.6,3.4287128119999997,62.6,0.7933333333333333
64.77,10.48781656,5.592944791000002,72.1,1.12,137.0,75.6,1.62,2.35,203.0,60.1,6.0,46.66666666666667,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.0,3.885484083333333,-1.096516,2.6,319.6,3.56070385,62.8,0.8066666666666666
64.77,10.48781656,5.592944791000002,72.1,1.16,137.0,75.6,1.62,2.35,203.0,59.8,6.0,47.0,2.0,-1.09753971333,-1.096516,-1.09753971333,3.0,3.4663102999999995,-1.096516,2.6,398.6,3.30919958,63.0,0.8200000000000001
64.77,10.48781656,5.592944791000002,72.1,0.96,137.0,75.6,1.62,2.35,203.0,63.39999999999999,7.0,47.33333333333333,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.333333333333333,3.53146569,-1.096516,2.8,195.6,3.3482928139999997,63.2,0.7533333333333334
64.77,10.48781656,5.592944791000002,72.1,1.2000000000000002,137.0,75.6,1.62,2.35,203.0,60.89999999999999,7.0,48.0,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.333333333333333,3.922050613333333,-1.096516,2.8,458.6,3.582643768,63.6,0.8333333333333334
64.77,10.48781656,5.592944791000002,72.1,0.5199999999999999,137.0,75.6,1.62,2.35,203.0,58.3,3.0,55.0,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,3.80590734,-1.096516,2.0,11.6,3.5129578039999996,67.8,0.6066666666666667
81.31,11.23526301,6.340391241000002,88.64,0.8099999999999999,154.0,93.0,1.75,2.48,220.0,75.7,4.0,45.0,2.6666666666666665,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.46415593,-0.96193707,2.8,92.0,2.707906958,61.8,0.6699999999999999
81.31,11.23526301,6.340391241000002,88.64,0.85,154.0,93.0,1.75,2.48,220.0,75.7,4.0,45.33333333333333,2.6666666666666665,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.63236257,-0.96193707,2.8,137.0,2.8088309419999997,62.0,0.6833333333333333
81.31,11.23526301,6.340391241000002,88.64,1.04,154.0,93.0,1.75,2.48,220.0,79.2,5.0,45.66666666666667,2.333333333333333,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,3.2064797066666664,-0.96193707,3.0,127.0,3.153301224,62.2,0.7466666666666666
81.31,11.23526301,6.340391241000002,88.64,1.04,154.0,93.0,1.75,2.48,220.0,75.7,5.0,46.0,2.0,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,2.688746403333333,-0.96193707,3.0,102.0,2.8426612419999997,62.40000000000001,0.7466666666666666
81.31,11.23526301,6.340391241000002,88.64,1.0299999999999998,154.0,93.0,1.75,2.48,220.0,75.7,5.0,46.33333333333333,2.333333333333333,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,2.8668868966666667,-0.96193707,3.0,181.0,2.949545538,62.6,0.7433333333333333
81.31,11.23526301,6.340391241000002,88.64,1.13,154.0,93.0,1.75,2.48,220.0,81.0,6.0,46.66666666666666,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.0,3.713819936666667,-0.96193707,3.2,257.0,3.4577053620000004,62.8,0.7766666666666666
81.31,11.23526301,6.340391241000002,88.64,1.17,154.0,93.0,1.75,2.48,220.0,77.5,6.0,47.0,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.0,3.933805,-0.96193707,3.2,320.0,3.5896964,63.0,0.7899999999999999
81.31,11.23526301,6.340391241000002,88.64,1.21,154.0,93.0,1.75,2.48,220.0,77.2,6.0,47.33333333333333,2.0,-0.963335025,-0.96193707,-0.963335025,4.0,3.5146312166666664,-0.96193707,3.2,399.0,3.3381921300000004,63.2,0.8033333333333333
64.77,10.48781656,5.592944791000002,72.1,1.12,137.0,75.6,1.62,2.35,203.0,63.89999999999999,6.0,48.33333333333333,1.3333333333333333,-1.09753971333,-1.096516,-1.09753971333,3.0,3.156982606666667,-1.096516,2.6,208.6,3.123602964,63.8,0.8066666666666666
64.77,10.48781656,5.592944791000002,72.1,0.7399999999999999,137.0,75.6,1.62,2.35,203.0,58.99999999999999,3.0,54.33333333333333,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,3.59450927,-1.096516,2.0,68.1,3.386118962,67.4,0.6799999999999999
64.77,10.48781656,5.592944791000002,72.1,0.66,137.0,75.6,1.62,2.35,203.0,58.3,3.0,54.66666666666667,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,2.3231037066666667,-1.096516,2.0,8.6,2.623275624,67.60000000000001,0.6533333333333333
81.31,11.23526301,6.340391241000002,88.64,1.0100000000000002,154.0,93.0,1.75,2.48,220.0,80.8,7.0,47.66666666666666,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.333333333333334,3.5797866066666666,-0.96193707,3.4000000000000004,196.0,3.3772853640000005,63.40000000000001,0.7366666666666667
81.31,11.23526301,6.340391241000002,88.64,1.25,154.0,93.0,1.75,2.48,220.0,78.3,7.0,48.33333333333333,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.333333333333334,3.97037153,-0.96193707,3.4000000000000004,459.0,3.611636318,63.8,0.8166666666666667
81.31,11.23526301,6.340391241000002,88.64,1.17,154.0,93.0,1.75,2.48,220.0,81.3,6.0,48.66666666666666,1.3333333333333333,-0.963335025,-0.96193707,-0.963335025,4.0,3.2053035233333333,-0.96193707,3.2,209.0,3.1525955139999997,64.0,0.7899999999999999
17.1,7.311634665,2.416762896,24.43,0.18999999999999995,76.0,26.1,0.93,1.66,142.0,8.8,3.0,54.33333333333333,0.0,-1.86988691,-1.86553478,-1.86988691,2.0,3.89966992,-1.86553478,2.0,4.0,3.569215352,67.4,0.7166666666666666
11.49,6.702649876000001,1.807778107,18.82,0.3900000000000001,62.0,22.2,0.8200000000000001,1.55,128.0,4.899999999999999,4.0,55.66666666666666,0.0,-1.86988691,-1.86553478,-1.86988691,2.333333333333333,2.560261563333333,-1.86553478,2.2,105.0,2.7655703380000003,68.2,0.7833333333333334
17.9,7.39058945,2.4957176810000004,25.23,0.26,73.0,27.0,0.8900000000000001,1.62,139.0,9.7,4.0,56.0,0.0,-1.86988691,-1.86553478,-1.86988691,2.333333333333333,4.11709647,-1.86553478,2.2,40.0,3.699671282,68.4,0.74
19.76,7.567916457999999,2.673044689,27.09,0.28,73.0,30.2,0.8600000000000001,1.59,139.0,12.9,5.0,57.66666666666666,0.0,-1.86988691,-1.86553478,-1.86988691,2.6666666666666665,3.89663465,-1.86553478,2.4,57.0,3.56739419,69.4,0.7466666666666666
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.4500000000000001,104.0,39.7,1.17,1.9,170.0,22.4,3.0,33.333333333333336,3.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,2.94686124,-1.2544847,2.0,75.0,2.9975301439999997,54.8,0.6966666666666667
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.7000000000000001,100.0,39.7,1.17,1.9,166.0,22.4,4.0,44.0,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.454977876666667,-1.2544847,2.2,105.0,2.702400126,61.2,0.78
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.59,109.0,39.7,1.17,1.9,175.0,22.4,4.0,44.33333333333333,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.8722777766666665,-1.2544847,2.2,89.0,2.9527800660000003,61.40000000000001,0.7433333333333333
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.63,109.0,39.7,1.17,1.9,175.0,22.4,4.0,44.66666666666666,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,3.0404844166666667,-1.2544847,2.2,134.0,3.05370405,61.6,0.7566666666666666
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.82,100.0,39.7,1.17,1.9,166.0,25.9,5.0,45.0,2.333333333333333,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.6146015533333333,-1.2544847,2.4,124.0,3.398174332,61.8,0.82
